testId,variant,sex,ageMin,ageMax,minScore,maxScore,percentile,classification
BMI,Default,Female,30,39,18.5,24.9,60,Healthy Fitness Zone
BMI,Default,Female,30,39,25,100,40,Needs Improvement
BMI,Default,Male,40,49,0,18.4,40,Needs Improvement
BMI,Default,Male,40,49,18.5,24.9,60,Healthy Fitness Zone
BMI,Default,Male,40,49,25,100,40,Needs Improvement
BMI,Default,Female,40,49,0,18.4,40,Needs Improvement
BMI,Default,Female,40,49,18.5,24.9,60,Healthy Fitness Zone
BMI,Default,Female,40,49,25,100,40,Needs Improvement
BMI,Default,Male,50,59,0,18.4,40,Needs Improvement
BMI,Default,Male,50,59,18.5,24.9,60,Healthy Fitness Zone
BMI,Default,Male,50,59,25,100,40,Needs Improvement
BMI,Default,Female,50,59,0,18.4,40,Needs Improvement
BMI,Default,Female,50,59,18.5,24.9,60,Healthy Fitness Zone
BMI,Default,Female,50,59,25,100,40,Needs Improvement
BMI,Default,Male,60,69,0,18.4,40,Needs Improvement
BMI,Default,Male,60,69,18.5,24.9,60,Healthy Fitness Zone
BMI,Default,Male,60,69,25,100,40,Needs Improvement
BMI,Default,Female,60,69,0,18.4,40,Needs Improvement
BMI,Default,Female,60,69,18.5,24.9,60,Healthy Fitness Zone
BMI,Default,Female,60,69,25,100,40,Needs Improvement
Rockport Walk Test (VO₂max),Default,Male,20,29,0,41.6,40,Needs Improvement
Rockport Walk Test (VO₂max),Default,Male,20,29,41.7,55.2,60,Healthy Fitness Zone
Rockport Walk Test (VO₂max),Default,Male,20,29,55.3,80,90,Superior
Rockport Walk Test (VO₂max),Default,Female,20,29,0,35.9,40,Needs Improvement
Rockport Walk Test (VO₂max),Default,Female,20,29,36,49.1,60,Healthy Fitness Zone
Rockport Walk Test (VO₂max),Default,Female,20,29,49.2,80,90,Superior
Rockport Walk Test (VO₂max),Default,Male,30,39,0,40.2,40,Needs Improvement
Rockport Walk Test (VO₂max),Default,Male,30,39,40.3,52.4,60,Healthy Fitness Zone
Rockport Walk Test (VO₂max),Default,Male,30,39,52.5,80,90,Superior
Rockport Walk Test (VO₂max),Default,Female,30,39,0,34.7,40,Needs Improvement
Rockport Walk Test (VO₂max),Default,Female,30,39,34.8,46.8,60,Healthy Fitness Zone
Rockport Walk Test (VO₂max),Default,Female,30,39,46.9,80,90,Superior
Rockport Walk Test (VO₂max),Default,Male,40,49,0,37.8,40,Needs Improvement
Rockport Walk Test (VO₂max),Default,Male,40,49,37.9,50.9,60,Healthy Fitness Zone
Rockport Walk Test (VO₂max),Default,Male,40,49,51,80,90,Superior
Rockport Walk Test (VO₂max),Default,Female,40,49,0,33,40,Needs Improvement
Rockport Walk Test (VO₂max),Default,Female,40,49,33.1,45,60,Healthy Fitness Zone
Rockport Walk Test (VO₂max),Default,Female,40,49,45.1,80,90,Superior
Rockport Walk Test (VO₂max),Default,Male,50,59,0,35.7,40,Needs Improvement
Rockport Walk Test (VO₂max),Default,Male,50,59,35.8,48.1,60,Healthy Fitness Zone
Rockport Walk Test (VO₂max),Default,Male,50,59,48.2,80,90,Superior
Rockport Walk Test (VO₂max),Default,Female,50,59,0,31.5,40,Needs Improvement
Rockport Walk Test (VO₂max),Default,Female,50,59,31.6,42.4,60,Healthy Fitness Zone
Rockport Walk Test (VO₂max),Default,Female,50,59,42.5,80,90,Superior
Rockport Walk Test (VO₂max),Default,Male,60,69,0,33.7,40,Needs Improvement
Rockport Walk Test (VO₂max),Default,Male,60,69,33.8,45.3,60,Healthy Fitness Zone
Rockport Walk Test (VO₂max),Default,Male,60,69,45.4,80,90,Superior
Rockport Walk Test (VO₂max),Default,Female,60,69,0,30.2,40,Needs Improvement
Rockport Walk Test (VO₂max),Default,Female,60,69,30.3,39.6,60,Healthy Fitness Zone
Rockport Walk Test (VO₂max),Default,Female,60,69,39.7,80,90,Superior
Waist-to-Hip Ratio,Default,Female,20,29,0,0.84,60,Healthy Fitness Zone
Waist-to-Hip Ratio,Default,Female,20,29,0.85,2,40,Needs Improvement
Waist-to-Hip Ratio,Default,Female,30,39,0,0.84,60,Healthy Fitness Zone
Waist-to-Hip Ratio,Default,Female,30,39,0.85,2,40,Needs Improvement
Waist-to-Hip Ratio,Default,Female,40,49,0,0.84,60,Healthy Fitness Zone
Waist-to-Hip Ratio,Default,Female,40,49,0.85,2,40,Needs Improvement
Waist-to-Hip Ratio,Default,Female,50,59,0,0.84,60,Healthy Fitness Zone
Waist-to-Hip Ratio,Default,Female,50,59,0.85,2,40,Needs Improvement
Waist-to-Hip Ratio,Default,Female,60,69,0,0.84,60,Healthy Fitness Zone
Waist-to-Hip Ratio,Default,Female,60,69,0.85,2,40,Needs Improvement
test_wall_sit,Default,Male,20,29,0,45,40,Needs Improvement
test_wall_sit,Default,Male,20,29,46,90,60,Healthy Fitness Zone
test_wall_sit,Default,Male,20,29,91,300,90,Superior
test_wall_sit,Default,Female,20,29,0,35,40,Needs Improvement
test_wall_sit,Default,Female,20,29,36,75,60,Healthy Fitness Zone
test_wall_sit,Default,Female,20,29,76,300,90,Superior
test_wall_sit,Default,Male,30,39,0,40,40,Needs Improvement
test_wall_sit,Default,Male,30,39,41,80,60,Healthy Fitness Zone
test_wall_sit,Default,Male,30,39,81,300,90,Superior
test_wall_sit,Default,Female,30,39,0,30,40,Needs Improvement
test_wall_sit,Default,Female,30,39,31,70,60,Healthy Fitness Zone
test_wall_sit,Default,Female,30,39,71,300,90,Superior
test_wall_sit,Default,Male,40,49,0,35,40,Needs Improvement
test_wall_sit,Default,Male,40,49,36,70,60,Healthy Fitness Zone
test_wall_sit,Default,Male,40,49,71,300,90,Superior
test_wall_sit,Default,Female,40,49,0,28,40,Needs Improvement
test_wall_sit,Default,Female,40,49,29,60,60,Healthy Fitness Zone
test_wall_sit,Default,Female,40,49,61,300,90,Superior
test_wall_sit,Default,Male,50,59,0,30,40,Needs Improvement
test_wall_sit,Default,Male,50,59,31,60,60,Healthy Fitness Zone
test_wall_sit,Default,Male,50,59,61,300,90,Superior
test_wall_sit,Default,Female,50,59,0,25,40,Needs Improvement
test_wall_sit,Default,Female,50,59,26,55,60,Healthy Fitness Zone
test_wall_sit,Default,Female,50,59,56,300,90,Superior
test_wall_sit,Default,Male,60,69,0,25,40,Needs Improvement
test_wall_sit,Default,Male,60,69,26,50,60,Healthy Fitness Zone
test_wall_sit,Default,Male,60,69,51,300,90,Superior
test_wall_sit,Default,Female,60,69,0,20,40,Needs Improvement
test_wall_sit,Default,Female,60,69,21,45,60,Healthy Fitness Zone
test_wall_sit,Default,Female,60,69,46,300,90,Superior
BESS Test,Default,Female,20,29,0,12,40,Needs Improvement
BESS Test,Default,Female,20,29,13,20,60,Healthy Fitness Zone
BESS Test,Default,Female,20,29,21,30,90,Superior
BESS Test,Default,Female,30,39,0,10,40,Needs Improvement
BESS Test,Default,Female,30,39,11,18,60,Healthy Fitness Zone
BESS Test,Default,Female,30,39,19,30,90,Superior
BESS Test,Default,Female,40,49,0,9,40,Needs Improvement
BESS Test,Default,Female,40,49,10,18,60,Healthy Fitness Zone
BESS Test,Default,Female,40,49,19,30,90,Superior
BESS Test,Default,Female,50,54,0,11,40,Needs Improvement
BESS Test,Default,Female,50,54,12,21,60,Healthy Fitness Zone
BESS Test,Default,Female,50,54,22,30,90,Superior
BESS Test,Default,Female,55,59,0,10,40,Needs Improvement
BESS Test,Default,Female,55,59,11,22,60,Healthy Fitness Zone
BESS Test,Default,Female,55,59,23,30,90,Superior
BESS Test,Default,Female,60,64,0,12,40,Needs Improvement
BESS Test,Default,Female,60,64,13,23,60,Healthy Fitness Zone
BESS Test,Default,Female,60,64,24,30,90,Superior
BESS Test,Default,Female,65,69,0,14,40,Needs Improvement
BESS Test,Default,Female,65,69,15,25,60,Healthy Fitness Zone
BESS Test,Default,Female,65,69,26,30,90,Superior
test_back_scratch,Default,Male,20,29,-30,-9,40,Needs Improvement
test_back_scratch,Default,Male,20,29,-8,5,60,Healthy Fitness Zone
test_back_scratch,Default,Male,20,29,6,15,90,Superior
test_back_scratch,Default,Female,20,29,-20,-1,40,Needs Improvement
test_back_scratch,Default,Female,20,29,0,8,60,Healthy Fitness Zone
test_back_scratch,Default,Female,20,29,9,20,90,Superior
test_back_scratch,Default,Male,30,39,-30,-12,40,Needs Improvement
test_back_scratch,Default,Male,30,39,-11,4,60,Healthy Fitness Zone
test_back_scratch,Default,Male,30,39,5,15,90,Superior
test_back_scratch,Default,Female,30,39,-20,-3,40,Needs Improvement
test_back_scratch,Default,Female,30,39,-2,7,60,Healthy Fitness Zone
test_back_scratch,Default,Female,30,39,8,20,90,Superior
test_back_scratch,Default,Male,40,49,-30,-15,40,Needs Improvement
test_back_scratch,Default,Male,40,49,-14,3,60,Healthy Fitness Zone
test_back_scratch,Default,Male,40,49,4,15,90,Superior
test_back_scratch,Default,Female,40,49,-20,-6,40,Needs Improvement
test_back_scratch,Default,Female,40,49,-5,6,60,Healthy Fitness Zone
test_back_scratch,Default,Female,40,49,7,20,90,Superior
test_back_scratch,Default,Male,50,59,-30,-11,40,Needs Improvement
test_back_scratch,Default,Male,50,59,-10,4,60,Healthy Fitness Zone
test_back_scratch,Default,Male,50,59,5,15,90,Superior
test_back_scratch,Default,Female,50,59,-20,-4,40,Needs Improvement
test_back_scratch,Default,Female,50,59,-3,8,60,Healthy Fitness Zone
test_back_scratch,Default,Female,50,59,9,20,90,Superior
test_back_scratch,Default,Male,60,65,-30,-8,40,Needs Improvement
test_back_scratch,Default,Male,60,65,-7,5,60,Healthy Fitness Zone
test_back_scratch,Default,Male,60,65,6,15,90,Superior
test_back_scratch,Default,Female,60,65,-20,-10,40,Needs Improvement
test_back_scratch,Default,Female,60,65,-9,5,60,Healthy Fitness Zone
test_back_scratch,Default,Female,60,65,6,20,90,Superior
Total Body Rotation,Default,Male,20,29,0,15,40,Needs Improvement
Total Body Rotation,Default,Male,20,29,16,21,60,Healthy Fitness Zone
Total Body Rotation,Default,Male,20,29,22,30,90,Superior
Total Body Rotation,Default,Male,20,29,0,16,40,Needs Improvement
Total Body Rotation,Default,Male,20,29,17,22,60,Healthy Fitness Zone
Total Body Rotation,Default,Male,20,29,23,30,90,Superior
Total Body Rotation,Default,Male,30,39,0,14,40,Needs Improvement
Total Body Rotation,Default,Male,30,39,15,20,60,Healthy Fitness Zone
Total Body Rotation,Default,Male,30,39,21,30,90,Superior
Total Body Rotation,Default,Male,30,39,0,15,40,Needs Improvement
Total Body Rotation,Default,Male,30,39,16,21,60,Healthy Fitness Zone
Total Body Rotation,Default,Male,30,39,22,30,90,Superior
Total Body Rotation,Default,Male,40,49,0,13,40,Needs Improvement
Total Body Rotation,Default,Male,40,49,14,19,60,Healthy Fitness Zone
Total Body Rotation,Default,Male,40,49,20,30,90,Superior
Total Body Rotation,Default,Male,40,49,0,14,40,Needs Improvement
Total Body Rotation,Default,Male,40,49,15,20,60,Healthy Fitness Zone
Total Body Rotation,Default,Male,40,49,21,30,90,Superior
Total Body Rotation,Default,Female,20,29,0,15,40,Needs Improvement
Total Body Rotation,Default,Female,20,29,16,20,60,Healthy Fitness Zone
Total Body Rotation,Default,Female,20,29,21,28,90,Superior
Total Body Rotation,Default,Female,20,29,0,15,40,Needs Improvement
Total Body Rotation,Default,Female,20,29,16,21,60,Healthy Fitness Zone
Total Body Rotation,Default,Female,20,29,22,28,90,Superior
Total Body Rotation,Default,Female,30,39,0,14,40,Needs Improvement
Total Body Rotation,Default,Female,30,39,15,19,60,Healthy Fitness Zone
Total Body Rotation,Default,Female,30,39,20,28,90,Superior
Total Body Rotation,Default,Female,30,39,0,14,40,Needs Improvement
Total Body Rotation,Default,Female,30,39,15,20,60,Healthy Fitness Zone
Total Body Rotation,Default,Female,30,39,21,28,90,Superior
Total Body Rotation,Default,Female,40,49,0,13,40,Needs Improvement
Total Body Rotation,Default,Female,40,49,14,18,60,Healthy Fitness Zone
Total Body Rotation,Default,Female,40,49,19,28,90,Superior
Total Body Rotation,Default,Female,40,49,0,13,40,Needs Improvement
Total Body Rotation,Default,Female,40,49,14,19,60,Healthy Fitness Zone
Total Body Rotation,Default,Female,40,49,20,28,90,Superior
test_sit_and_reach,Default,MALE,5,12,-30,14,40,Needs Improvement
test_sit_and_reach,Default,MALE,5,12,15,29,60,Healthy Fitness Zone
test_sit_and_reach,Default,MALE,5,12,30,50,90,Superior
test_sit_and_reach,Default,FEMALE,5,12,-30,16,40,Needs Improvement
test_sit_and_reach,Default,FEMALE,5,12,17,31,60,Healthy Fitness Zone
test_sit_and_reach,Default,FEMALE,5,12,32,50,90,Superior
test_sit_and_reach,Default,MALE,13,19,-30,17,40,Needs Improvement
test_sit_and_reach,Default,MALE,13,19,18,32,60,Healthy Fitness Zone
test_sit_and_reach,Default,MALE,13,19,33,55,90,Superior
test_sit_and_reach,Default,FEMALE,13,19,-30,19,40,Needs Improvement
test_sit_and_reach,Default,FEMALE,13,19,20,34,60,Healthy Fitness Zone
test_sit_and_reach,Default,FEMALE,13,19,35,55,90,Superior
test_sit_and_reach,Default,MALE,20,40,-30,14,40,Needs Improvement
test_sit_and_reach,Default,MALE,20,40,15,29,60,Healthy Fitness Zone
test_sit_and_reach,Default,MALE,20,40,30,55,90,Superior
test_sit_and_reach,Default,FEMALE,20,40,-30,17,40,Needs Improvement
test_sit_and_reach,Default,FEMALE,20,40,18,34,60,Healthy Fitness Zone
test_sit_and_reach,Default,FEMALE,20,40,35,60,90,Superior
test_sit_and_reach,Default,MALE,41,62,-30,11,40,Needs Improvement
test_sit_and_reach,Default,MALE,41,62,12,24,60,Healthy Fitness Zone
test_sit_and_reach,Default,MALE,41,62,25,50,90,Superior
test_sit_and_reach,Default,FEMALE,41,62,-30,14,40,Needs Improvement
